provider_role,first_name,last_name,gender_identity,insurance,hourly_rate,session_options,specialized_support,services_offered,registration_number,email,address
Counselor,Sally,Johnson,Female,"BlueCross, SunLife",180,"In-person, virtual","Religion, Grief","CBT, ERP, Grief",XXXXXXXX,sally.johnson@example.com,"190 Glover Road, Hamilton, ON"
Clinical Psychologist,Sarah,Harris,Female,"GreenShield, Aetna",150,In-person,Religion,Individual and Family Therapy,XXXXXXXX,sarah.harris@example.com,"227 King Street South, Waterloo, ON"
Social Worker,Chris,Martinez,Non-binary,"Manulife, GreenShield",100,"In-person, virtual",LGBTQ+,Individual Counseling,XXXXXXXX,chris.martinez@example.com,"36 Centennial Rd, Kitchener, ON"
Psychotherapist,Emily,Davis,Female,BlueCross,130,"In-person, virtual","Domestic violence, sexual assault","Trauma Recovery, CBT, ERP",XXXXXXXX,emily.davis@example.com,"100 McGovern Dr, Cambridge, ON"
Psychotherapist,Samuel,Clark,Male,"SunLife, GreenShield",140,Virtual,"Students, academic issues",Academic Counseling,XXXXXXXX,samuel.clark@example.com,"2800 Skymark Ave, Mississauga, ON"
Clinical Psychologist,Megan,Brown,Female,"Aetna, BlueCross",160,In-person,"Eating disorders, body image","CBT, EMDR, Body Image Therapy",XXXXXXXX,megan.brown@example.com,"2340 Winston Park Drive, Oakville, ON"
Clinical Psychiatrist,Mark,Taylor,Male,"BlueCross, Manulife",190,"In-person, virtual",Addictions,"CBT, ERP, Addiction Counseling",XXXXXXXX,mark.taylor@example.com,"195 King George Rd, Brantford, ON"
Marriage and Family Therapist,Laura,Liam,Female,GreenShield,110,In-person,LGBTQ+,"Couples' Counselling, Premarital Counselling, Family Therapy",XXXXXXXX,laura.liam@example.com,"101 Speedvale Ave W, Guelph, ON"
Clinical Psychologist,Daniel,Harris,Male,"SunLife, GreenShield",155,In-person,"Eating disorders, body image","CBT, Body Image Therapy",XXXXXXXX,daniel.harris@example.com,"456 The Queensway, Etobicoke, ON"
Psychotherapist,Nicole,Walker,Female,BlueCross,125,"In-person, virtual","Domestic violence, sexual assault","Trauma Therapy, CBT, DBT",XXXXXXXX,nicole.walker@example.com,"20 Wellington Street E, Toronto, ON"
Clinical Psychiatrist,Brian,Allen,Male,"Manulife, SunLife",200,In-person,Religion,"CBT, ERP, Spiritual Counseling",XXXXXXXX,brian.allen@example.com,"3210 Langstaff Road, Vaughan, ON"
Social Worker,Jessica,Scott,Female,"BlueCross, GreenShield",105,Virtual,LGBTQ+,Individual and Family Therapy,XXXXXXXX,jessica.scott@example.com,"78 Main Street, Acton, ON"
Psychotherapist,John,King,Male,Aetna,135,"In-person, virtual","Domestic violence, sexual assault","Trauma Recovery, CBT, DBT",XXXXXXXX,john.king@example.com,"150 Dufferin Avenue, London, ON"
Clinical Psychologist,Sam,Nelson,Non-binary,GreenShield,150,"In-person, virtual","Eating disorders, body image","CBT, EMDR",XXXXXXXX,sam.nelson@example.com,"333 Preston St, Ottawa, ON"
Psychotherapist,Ben,Wright,Male,"BlueCross, SunLife",130,In-person,"Eating disorders, body image",Cognitive Behavioral Therapy,XXXXXXXX,ben.wright@example.com,"50 Collier St, Barrie, ON"
Marriage and Family Therapist,Rachel,Smith,Female,"Aetna, GreenShield",180,"In-person, virtual",Religion,"Couples' Counselling, Premarital Counselling, Family Therapy",XXXXXXXX,rachel.smith@example.com,"2300 Regent St, Sudbury, ON"
Clinical Psychologist,Andrew,Harrison,Male,"SunLife, Manulife",160,In-person,"Students, academic issues","Academic Therapy, CBT",XXXXXXXX,andrew.harrison@example.com,"600 Gardiners Rd, Kingston, ON"
Counselor,Wren,Johnson,Non-binary,BlueCross,120,"In-person, virtual",Addictions,"Group Therapy, Cognitive Therapy",XXXXXXXX,wren.johnson@example.com,"132 University Avenue E, Waterloo, ON"
